PALABRA;CALIFICACION
desmayo;1,0000
arrepentido;1,0000
desarrollar;1,0000
azucar;-1,0000
pillan;-1,0000
euros;-1,0000
aqui;,0000
secundarla;,0000
reformar;,0000
ignores;1,0000
asombrosamente;1,0000
callando;1,0000
comentada;,0000
privada;,0000
detener;,0000
cobradas;1,0000
lemas;1,0000
dicho;,0000
personalizado;1,0000
entrana;1,0000
inaugurar;,0000
mitigar;,0000
puertos;,0000
pure;1,0000
cerraban;1,0000
cenado;1,0000
concretos;,0000
mundoen;1,0000
quejandose;-1,0000
intransigencia;,0000
crearan;1,0000
prepotencias;1,0000
funcionado;,0000
coaccion;-1,0000
pistola;-1,0000
margin;1,0000
divididos;-1,0000
explicase;1,0000
absoluto;,0000
clamor;,0000
colaboraciones;1,0000
soberanista;,0000
palancas;1,0000
desplazarse;1,0000
representaciones;1,0000
fondo;,0000
romanos;,0000
durara;,0000
mates;,0000
renacidas;1,0000
disjuntos;1,0000
cubrir;,0000
tardaron;,0000
pleitos;-1,0000
conocedor;1,0000
pretenden;-1,0000
contentar;1,0000
chapuza;-1,0000
moriremos;1,0000
cadera;,0000
corporativa;,0000
acusarle;1,0000
prader;1,0000
lagrima;,0000
bordar;1,0000
deportivos;1,0000
favorite;1,0000
apreciada;1,0000
escandaloso;-1,0000
esposa;,0000
fiabilidad;,0000
insignificancia;1,0000
hacker;,0000
tranquilas;,0000
confuso;-1,0000
ponernos;1,0000
llegaran;,0000
administrar;1,0000
brios;1,0000
revueltos;,0000
celdas;1,0000
transplante;,0000
dialecticos;1,0000
soberbio;,0000
males;-1,0000
acertado;1,0000
encomendada;1,0000
dirigidas;1,0000
llagas;1,0000
elocuencia;1,0000
delegad;-1,0000
noten;1,0000
condenando;1,0000
humilla;-1,0000
vacaciones;1,0000
identificados;,0000
sustituirlos;1,0000
japones;-1,0000
autoengano;1,0000
emitida;-1,0000
diccionarios;1,0000
solicitaron;1,0000
precariedad;-1,0000
polemizar;1,0000
piso;,0000
hablare;,0000
suban;,0000
psicologas;1,0000
registraba;1,0000
apoteosis;1,0000
bloqueo;-1,0000
ventas;,0000
indebida;-1,0000
llege;,0000
geneticas;1,0000
refiere;,0000
ventajas;1,0000
beneficia;,0000
honrado;1,0000
vigila;,0000
explorar;1,0000
desempeno;1,0000
colaborativo;1,0000
diestro;1,0000
enana;1,0000
tardes;,0000
expandido;1,0000
diablo;-1,0000
confirmaban;1,0000
atavismo;1,0000
latinoamericanas;-1,0000
reluce;1,0000
insolidarios;-1,0000
utilizarse;1,0000
escandalizado;1,0000
irreversible;-1,0000
esparciendo;1,0000
apoyan;,0000
deshacerse;1,0000
herando;1,0000
borro;1,0000
terapia;,0000
impudico;-1,0000
casos;,0000
extra;,0000
brindando;1,0000
encuentres;1,0000
esplendidas;1,0000
dominantes;1,0000
prioritario;,0000
orilla;,0000
asalto;-1,0000
esquema;,0000
cabrones;-1,0000
represaliados;-1,0000
excrementos;-1,0000
podiamos;-1,0000
cegar;1,0000
levantarnos;1,0000
aparicion;,0000
hallada;-1,0000
demonizarlo;1,0000
argumento;-1,0000
web;,0000
donados;1,0000
cortapisa;1,0000
atacado;-1,0000
atrevernos;1,0000
afirmaciones;1,0000
entrenador;,0000
joe;,0000
convence;,0000
integradora;,0000
pecados;,0000
parejas;,0000
harina;1,0000
ceramica;-1,0000
desautorizar;,0000
cifras;-1,0000
fenomenos;1,0000
costumbres;,0000
concentran;,0000
amarillos;,0000
generalizados;-1,0000
lateral;,0000
meter;,0000
envidioso;1,0000
benevolos;1,0000
game;,0000
cabra;,0000
atipico;1,0000
more;,0000
susto;,0000
ayudan;1,0000
preocupan;-1,0000
ejecutivos;,0000
cargas;-1,0000
pactan;,0000
patologias;-1,0000
feudalismo;,0000
triplican;,0000
sellados;1,0000
cerraran;-1,0000
agravio;-1,0000
gratuita;1,0000
postulado;1,0000
opinas;,0000
ganado;1,0000
rechazo;-1,0000
innovadoras;1,0000
ciertas;1,0000
prudencia;,0000
amplias;1,0000
alguien;,0000
bustan;1,0000
gratuitos;,0000
declaraciones;,0000
defendiera;1,0000
senuelo;-1,0000
preguntado;,0000
escenico;,0000
ocho;,0000
inhabilitando;1,0000
incitan;,0000
tretas;-1,0000
violaciones;-1,0000
aunar;1,0000
recorto;,0000
prometiendo;1,0000
liked;,0000
arrest;-1,0000
currar;,0000
desmonta;,0000
apagas;1,0000
reunen;-1,0000
estrenemos;1,0000
obsesiones;,0000
pulmon;,0000
vides;1,0000
trasladada;-1,0000
revise;,0000
reciclados;1,0000
autonomicas;,0000
recaer;-1,0000
fame;1,0000
manden;1,0000
edades;,0000
salda;-1,0000
genio;1,0000
psicologia;1,0000
relativa;,0000
activista;1,0000
enredando;-1,0000
callada;,0000
violador;-1,0000
sangre;,0000
premie;1,0000
dedicar;1,0000
disuadir;1,0000
magnetico;1,0000
enzarzados;1,0000
puntilla;,0000
coloradas;1,0000
darse;,0000
sobrecogedor;-1,0000
congela;-1,0000
gordas;-1,0000
bilaterales;1,0000
hecho;,0000
economa;1,0000
enviamos;,0000
heridos;-1,0000
hinchando;1,0000
omite;1,0000
habla;,0000
hecha;,0000
aclaran;,0000
monstruos;-1,0000
espana;,0000
tematico;1,0000
mandemos;1,0000
confesiones;,0000
cogen;,0000
relata;,0000
amarilla;,0000
esquiva;-1,0000
balance;,0000
tech;1,0000
artean;1,0000
presencio;1,0000
bien;1,0000
libertades;1,0000
correctamente;1,0000
precisan;1,0000
comprarlo;,0000
munecos;1,0000
jope;1,0000
mandad;,0000
incumplimientos;-1,0000
legislativas;,0000
intensos;,0000
compacto;1,0000
tere;,0000
delicia;1,0000
anotar;1,0000
libertadores;1,0000
suprimiendo;1,0000
pagados;-1,0000
asesor;,0000
muchisimo;,0000
deformacion;1,0000
dices;,0000
mierda;-1,0000
correrian;1,0000
mecenazgo;,0000
apueste;1,0000
breve;,0000
contagios;1,0000
proyectaron;1,0000
desperto;,0000
lecturas;,0000
invite;1,0000
entreviste;1,0000
suspense;,0000
derrotados;1,0000
dotarles;1,0000
besos;1,0000
atacar;-1,0000
quebradiza;1,0000
formulas;,0000
sumo;1,0000
vivido;1,0000
obstaculos;-1,0000
hospitalario;1,0000
resumo;1,0000
manipulada;,0000
trastornados;1,0000
procurando;1,0000
voladura;1,0000
sostenida;1,0000
regionalistas;-1,0000
excelencias;1,0000
ruidosos;1,0000
informaremos;1,0000
suscribo;1,0000
tape;,0000
punetazos;1,0000
apoyaras;1,0000
mine;1,0000
vih;-1,0000
respond;1,0000
afectos;1,0000
asesinas;1,0000
embajadores;-1,0000
combatir;,0000
naufragado;1,0000
equivalente;,0000
vigente;,0000
usual;1,0000
matizaciones;1,0000
avaro;,0000
superan;,0000
med;1,0000
celebre;1,0000
proposicion;-1,0000
declarandose;1,0000
renovado;1,0000
opuestas;1,0000
gallegas;1,0000
boxes;1,0000
pasara;,0000
impresionar;1,0000
reacciona;,0000
determinadas;,0000
continuas;1,0000
amenazaron;1,0000
pardos;1,0000
consolarse;1,0000
seres;,0000
inaugure;1,0000
indigena;1,0000
computado;1,0000
extorsiono;-1,0000
adiestrados;1,0000
corporativo;,0000
expulso;-1,0000
realidad;,0000
mediadas;-1,0000
comparecido;,0000
divergencias;1,0000
excitacion;1,0000
reclamaba;1,0000
pantanos;,0000
medallista;1,0000
diagnostica;1,0000
cuellos;1,0000
amen;1,0000
desliz;,0000
pierden;-1,0000
selectivos;1,0000
bombardearle;1,0000
discrepar;,0000
contesta;,0000
extraida;1,0000
guapisimas;1,0000
desearles;1,0000
animales;,0000
antipatriota;-1,0000
agradeciendole;1,0000
recomendables;1,0000
perdono;1,0000
edificios;,0000
temo;-1,0000
decisivo;1,0000
award;1,0000
altera;-1,0000
abandone;,0000
pesos;1,0000
magnanimos;1,0000
violentados;1,0000
autoestima;1,0000
descansa;1,0000
sacude;-1,0000
formulaciones;1,0000
desafios;,0000
despotas;-1,0000
vanguardia;,0000
explicito;1,0000
extranjera;,0000
restricciones;1,0000
vencida;1,0000
administrativo;1,0000
carrusel;1,0000
curro;,0000
legitimados;,0000
brian;1,0000
ejecutarles;1,0000
protestan;-1,0000
recesiones;-1,0000
criticarle;-1,0000
alterados;1,0000
cerrado;,0000
silla;,0000
padece;-1,0000
carteras;,0000
agote;1,0000
recuerdos;1,0000
gobernaba;1,0000
antena;,0000
sinfonica;,0000
balas;1,0000
nacemos;1,0000
frustrante;1,0000
presidir;,0000
monjas;-1,0000
femenina;,0000
aliviado;1,0000
errante;1,0000
administre;1,0000
situe;1,0000
redondo;-1,0000
autorizan;1,0000
respondido;,0000
confirmaran;1,0000
subordinacion;-1,0000
ejercito;,0000
preguntarle;,0000
prescindo;1,0000
exporten;1,0000
madrugar;,0000
llevando;1,0000
presenten;,0000
perspectiva;-1,0000
patetico;-1,0000
atentar;,0000
retroceda;-1,0000
cortaron;1,0000
propuso;-1,0000
garrafon;,0000
obsoleto;1,0000
shock;,0000
breves;1,0000
quejarme;1,0000
quede;,0000
sofa;,0000
desastre;-1,0000
carpa;1,0000
tendida;,0000
parlamento;,0000
pierna;,0000
nacidos;,0000
calido;1,0000
extremar;1,0000
ajusta;,0000
garantiza;,0000
modularlo;1,0000
ejecucion;,0000
dias;,0000
federico;,0000
supiesen;1,0000
reconquistar;,0000
precinta;,0000
pasean;1,0000
quiten;-1,0000
apuras;1,0000
credibilidad;,0000
atizan;-1,0000
tatuaba;1,0000
profeta;,0000
retratos;1,0000
tumores;-1,0000
bajamos;,0000
esperanzaes;1,0000
haberle;-1,0000
presidiendo;,0000
tragarme;1,0000
alevosia;-1,0000
insultan;-1,0000
masivas;1,0000
reprochan;-1,0000
mostro;,0000
volcado;,0000
complicidad;,0000
corporal;,0000
culpa;-1,0000
presida;,0000
inhibirnos;1,0000
aprobamos;1,0000
mides;1,0000
mercados;,0000
desobedecer;-1,0000
sustanciadas;1,0000
admitidas;1,0000
alia;1,0000
autenticas;,0000
nomina;,0000
ideal;1,0000
opuestos;-1,0000
vida;,0000
desmentidos;,0000
playas;,0000
revelar;,0000
planean;1,0000
planteen;1,0000
cuerda;,0000
sabor;1,0000
camisas;1,0000
declaradas;1,0000
edificante;1,0000
divulgar;1,0000
negocia;,0000
duraban;1,0000
abril;,0000
presentado;,0000
activados;1,0000
desterrado;1,0000
sufrimos;1,0000
desgrava;1,0000
perdonarme;1,0000
trabajada;1,0000
placa;,0000
pausas;1,0000
caminan;,0000
filtrando;1,0000
laden;,0000
habitos;,0000
reformamos;1,0000
lidera;1,0000
families;1,0000
pactarlo;1,0000
ejercer;,0000
apunten;,0000
inducida;1,0000
campeonas;1,0000
balcon;,0000
sexualmente;1,0000
zapaterismo;,0000
horario;,0000
famosas;1,0000
deportividad;1,0000
comunitario;,0000
interrogarle;1,0000
laica;,0000
coches;-1,0000
incumplan;-1,0000
suelta;,0000
inconstitucionales;1,0000
despedimos;1,0000
lamentar;1,0000
polos;1,0000
dilatada;1,0000
competit;1,0000
milloneas;1,0000
privatizamos;1,0000
bulo;,0000
haces;,0000
maritimas;1,0000
magnificos;1,0000
congelo;-1,0000
espectadores;,0000
insistes;1,0000
engreido;1,0000
inculto;-1,0000
pongas;,0000
cordial;1,0000
esperandome;1,0000
benevolencia;1,0000
cagar;1,0000
ricos;,0000
rigurosa;1,0000
soborno;-1,0000
independentistas;,0000
saldremos;-1,0000
propongo;,0000
recomendar;1,0000
cresid;1,0000
fans;1,0000
ve;,0000
pintoresco;1,0000
noches;,0000
pagos;,0000
decidiremos;1,0000
cuelguen;1,0000
leven;1,0000
interval;1,0000
navidad;,0000
hablada;1,0000
vibraciones;,0000
estatua;,0000
ensayen;1,0000
encarcelado;-1,0000
argumentaron;1,0000
reacciono;-1,0000
atrapados;,0000
padecer;1,0000
oreja;,0000
facciosos;1,0000
palos;-1,0000
aceptarlo;,0000
exit;1,0000
justificaba;1,0000
constituimos;1,0000
comis;-1,0000
utilizada;,0000
contradicciones;-1,0000
ordeno;,0000
agentes;-1,0000
alian;,0000
describen;,0000
interrogado;1,0000
trimestre;,0000
sanear;,0000
fingida;1,0000
didacticos;1,0000
elegida;1,0000
empujan;1,0000
aportacion;,0000
brindar;1,0000
transformacion;,0000
abucheos;,0000
recomendadas;,0000
desorientados;1,0000
sanitario;-1,0000
escaneados;1,0000
pluses;1,0000
conchas;1,0000
dejemos;,0000
determinados;1,0000
conmocionara;1,0000
crearlas;1,0000
entrevista;,0000
selecciona;1,0000
realizando;1,0000
matarlo;1,0000
parecidos;1,0000
miraban;1,0000
alonsos;1,0000
ilegal;-1,0000
disfrutandolo;1,0000
aplauda;,0000
sobrina;,0000
carinoso;1,0000
bajada;-1,0000
charlo;,0000
hacerla;,0000
despida;1,0000
solucionaran;1,0000
comentarla;1,0000
acusando;1,0000
extranamos;1,0000
hablar;,0000
componen;,0000
burguesia;1,0000
ensuciarme;1,0000
martinez;,0000
periferica;-1,0000
contaba;,0000
llamarse;,0000
duplican;1,0000
apoyarnos;1,0000
reservaba;1,0000
brillando;1,0000
frito;1,0000
cumpleanos;1,0000
robles;,0000
impunidad;-1,0000
atribuir;1,0000
derramado;1,0000
militar;,0000
canales;,0000
vicepresidenta;,0000
acuciantes;1,0000
estrenamos;1,0000
elegir;,0000
perjudicada;,0000
decirlas;1,0000
impactos;1,0000
paracetamol;1,0000
instintos;1,0000
curandome;1,0000
acelerada;1,0000
gestionaron;1,0000
alternancia;,0000
agria;1,0000
impulsor;,0000
correctos;1,0000
enterado;,0000
jueza;-1,0000
aguanto;1,0000
encarnan;1,0000
castillos;1,0000
cerda;,0000
contaremos;,0000
canjearlos;1,0000
plasticos;1,0000
primeros;,0000
bancaria;-1,0000
reclaman;,0000
destinada;1,0000
considerarla;,0000
aumentada;1,0000
ruinosas;1,0000
trasplantados;1,0000
firmara;1,0000
arquitectonicos;1,0000
usurpan;1,0000
afilie;1,0000
acabados;1,0000
deudas;-1,0000
avisarme;1,0000
aportarme;1,0000
acompanantes;1,0000
condiciona;,0000
acallar;1,0000
pincho;,0000
presenciar;-1,0000
prudencial;1,0000
desconocen;-1,0000
utilizarlos;1,0000
funciona;,0000
viento;,0000
dibujan;1,0000
invitadas;1,0000
tie-break;1,0000
brindo;1,0000
obligadas;-1,0000
ganaras;1,0000
conferencias;-1,0000
asignatura;,0000
delincuente;-1,0000
aplaudieron;1,0000
juzgados;,0000
despegado;1,0000
ilegalizada;1,0000
indultado;,0000
dejad;,0000
nieto;,0000
centralidad;1,0000
lead;1,0000
planteara;1,0000
cordiales;1,0000
melancolica;1,0000
cuadros;,0000
anulo;-1,0000
comunicamos;1,0000
aula;,0000
musculos;1,0000
inglesas;1,0000
mani;,0000
desviaciones;-1,0000
quemaran;1,0000
produciendo;,0000
planteas;1,0000
raiz;,0000
cruza;,0000
transformo;1,0000
degradacion;-1,0000
nervios;,0000
estudio;,0000
cebaba;1,0000
publicamos;,0000
paralel;1,0000
montaje;,0000
recibimos;1,0000
queremos;1,0000
casual;,0000
china;,0000
mediodias;1,0000
realizada;1,0000
practicado;1,0000
pagarme;1,0000
asomaba;1,0000
calle;,0000
firmamento;1,0000
rescatan;1,0000
enfadados;1,0000
mantenemos;,0000
abortistas;,0000
volver;,0000
instala;1,0000
dignos;1,0000
incendiarios;-1,0000
pasajeros;,0000
diput;,0000
gravedad;-1,0000
exploracion;1,0000
innecesarios;-1,0000
consej;,0000
ocupar;,0000
liz;1,0000
peleas;-1,0000
provincial;,0000
cobraban;1,0000
submundo;1,0000
puramente;,0000
profunda;,0000
rondara;-1,0000
agitadores;1,0000
extorsion;-1,0000
ocurre;,0000
mangantes;1,0000
encantan;1,0000
frenada;-1,0000
apropiado;1,0000
convincentes;,0000
retiren;1,0000
resolverlo;,0000
cedemos;1,0000
regalarlo;1,0000
debatiese;1,0000
reta;,0000
sacian;1,0000
pantallas;,0000
contrasentido;1,0000
pobres;-1,0000
repetimos;1,0000
duplicado;-1,0000
radical;-1,0000
contaminan;1,0000
existiese;1,0000
interrogante;1,0000
financiarnos;1,0000
place;1,0000
perfectamente;,0000
solicitud;-1,0000
coordinara;1,0000
cen;1,0000
socorro;-1,0000
cilicio;1,0000
magistratura;1,0000
claras;,0000
licenciados;,0000
enviarse;1,0000
montando;,0000
derrochan;,0000
ordena;,0000
adquirir;1,0000
dialogara;,0000
sarcastico;1,0000
gastaran;-1,0000
disensiones;1,0000
ahorrado;,0000
pecadores;-1,0000
combustible;,0000
conectadas;1,0000
adecuada;,0000
salvarse;,0000
reconocidas;1,0000
forzada;-1,0000
productivas;1,0000
volar;,0000
comisarios;-1,0000
sucedaneos;,0000
premiar;1,0000
generacion;,0000
denigran;1,0000
sobrellevar;1,0000
avanzaremos;,0000
inter;1,0000
sostenido;1,0000
humanizan;,0000
agitada;,0000
hacemos;,0000
crea;,0000
recuperaron;1,0000
pones;,0000
llegaron;,0000
rodearse;1,0000
insustancial;-1,0000
nube;,0000
rectificacion;,0000
duramente;,0000
bus;,0000
dimita;,0000
impulse;,0000
desleal;-1,0000
estatal;,0000
descubiertas;1,0000
disgustos;-1,0000
disfruten;1,0000
cansado;,0000
embajada;,0000
combinarlo;1,0000
vete;,0000
amputa;1,0000
canastas;,0000
carencias;-1,0000
canada;,0000
sellan;1,0000
toques;1,0000
condensador;1,0000
publicitario;,0000
dependido;1,0000
desconectada;1,0000
despedir;,0000
arrastrando;-1,0000
apostado;,0000
petroleo;-1,0000
permitio;-1,0000
integre;1,0000
regresado;1,0000
prejuzgadas;1,0000
solucionarlo;1,0000
decirselo;-1,0000
intentas;1,0000
absueltos;,0000
avances;1,0000
invade;-1,0000
escenicas;1,0000
aumenten;1,0000
parte;,0000
empleado;,0000
analizado;,0000
construccion;,0000
desaparecieron;1,0000
fenomena;1,0000
pateticos;-1,0000
animaron;1,0000
provocador;1,0000
cuarta;,0000
banqueros;-1,0000
kilometro;1,0000
egocentrismo;-1,0000
madrilenas;,0000
guerreando;1,0000
retire;,0000
facilitas;1,0000
senador;,0000
observando;1,0000
espaciales;1,0000
construida;1,0000
comprase;1,0000
inoportuno;1,0000
nines;1,0000
presionar;-1,0000
diferenciada;1,0000
costara;-1,0000
llames;-1,0000
noque;1,0000
teman;-1,0000
pazos;1,0000
escucho;1,0000
duraen;1,0000
habas;1,0000
poderia;1,0000
derrumbandose;1,0000
criminologa;1,0000
alabe;1,0000
electricas;,0000
pariente;1,0000
atenta;1,0000
manara;1,0000
practicamente;,0000
emocionalmente;1,0000
ofrecido;1,0000
eliminen;1,0000
congelaciones;-1,0000
explican;,0000
aliciente;1,0000
estupenda;1,0000
podra;,0000
desencaminado;1,0000
pido;,0000
impregne;1,0000
incomprendida;1,0000
cansar;,0000
pis;,0000
pino;,0000
cap;,0000
revoluciona;,0000
perfilarlo;1,0000
saludado;1,0000
prodigan;1,0000
hunda;1,0000
traducida;-1,0000
silenciada;1,0000
actuado;,0000
lejan;1,0000
contratan;,0000
buscadas;1,0000
improcedentes;1,0000
procesadores;1,0000
guiado;1,0000
proclamado;1,0000
presentar;,0000
bajarlos;-1,0000
ampliaremos;1,0000
administrativa;,0000
colegiada;1,0000
despilfarra;-1,0000
mocoso;1,0000
amato;1,0000
vaqueros;,0000
fructifero;1,0000
valoran;1,0000
burre;1,0000
excesos;-1,0000
aborda;,0000
empanada;1,0000
sobrinos;,0000
opera;1,0000
patio;,0000
llorando;,0000
recibimiento;1,0000
enfrentaran;1,0000
intencionalidad;1,0000
descansar;1,0000
poca;,0000
pasarme;-1,0000
provincias;,0000
cuero;,0000
exigentes;-1,0000
portera;,0000
involucradas;1,0000
recortara;,0000
tocado;,0000
vague;1,0000
ampliarse;1,0000
pronunciamiento;,0000
aceptados;1,0000
junto;,0000
comparandolo;1,0000
evasion;-1,0000
fiar;,0000
villancicos;,0000
opone;-1,0000
evidencias;1,0000
existiendo;,0000
fascinado;1,0000
digitales;,0000
transportaba;1,0000
brindarnos;1,0000
celular;1,0000
azor;,0000
contrapartidas;,0000
comprarme;,0000
malcriados;1,0000
habilitado;1,0000
rebasar;1,0000
bloqueara;-1,0000
reaccionado;-1,0000
esponjosos;1,0000
aportar;1,0000
retiraran;1,0000
gratos;1,0000
metalico;-1,0000
inculpa;,0000
creerme;1,0000
moderadores;1,0000
asesores;,0000
funesta;1,0000
comunidad;,0000
anchoas;,0000
documentos;,0000
dicto;1,0000
rey;,0000
queja;-1,0000
inflado;-1,0000
invertido;,0000
apoye;1,0000
rosa;,0000
bastara;1,0000
emocionan;1,0000
inyectan;1,0000
sabiduria;1,0000
dolores;,0000
admirador;1,0000
afecto;1,0000
causo;-1,0000
paseando;,0000
retorcido;1,0000
aprovecharlo;1,0000
repasaremos;1,0000
decreta;,0000
registrando;,0000
encarcelada;1,0000
diligencia;1,0000
votarlas;1,0000
titanes;1,0000
inteligente;1,0000
votas;1,0000
tomarle;1,0000
satirico;1,0000
sen;1,0000
punal;1,0000
culpable;,0000
huy;1,0000
ejercerlo;1,0000
combinaciones;1,0000
gallardo;1,0000
pesada;,0000
imaginativo;1,0000
ocupa;,0000
cortar;,0000
caduco;1,0000
apasionado;1,0000
persecucion;,0000
neolengua;,0000
descongela;1,0000
petarda;1,0000
predeterminada;1,0000
brinde;1,0000
sexual;,0000
licencia;,0000
irritan;-1,0000
amortizacion;1,0000
mediterranea;1,0000
inmigrantes;,0000
viviendo;,0000
luchan;1,0000
pole;,0000
fallecida;-1,0000
masacran;1,0000
airada;1,0000
paralizar;,0000
secreto;,0000
mover;,0000
cobras;,0000
cultivo;,0000
entornos;1,0000
leida;1,0000
mini;,0000
drasticas;,0000
juzgado;-1,0000
opositores;-1,0000
aclaren;1,0000
cuanta;,0000
comiendo;1,0000
inspeccionan;-1,0000
actuaciones;,0000
tripode;1,0000
sumergida;,0000
algun;,0000
masivo;,0000
delirio;-1,0000
plantados;1,0000
justos;,0000
levanto;,0000
aunque;,0000
diputada;,0000
reducida;1,0000
rendimos;1,0000
autobus;,0000
aceptaremos;1,0000
criatura;,0000
reflejan;-1,0000
pasiva;,0000
particula;1,0000
circulos;-1,0000
cesaron;1,0000
merluza;1,0000
amaneciendo;1,0000
aplazan;1,0000
valencia;,0000
bragado;,0000
desprotege;1,0000
pelo;,0000
abortas;1,0000
razan;1,0000
vincular;1,0000
ampliar;1,0000
mueran;-1,0000
cambiarlas;1,0000
ensayos;,0000
documentalista;1,0000
oximoron;1,0000
franquicia;,0000
decentes;1,0000
atrapado;,0000
lanzamiento;,0000
mueller;1,0000
combates;1,0000
debilidad;-1,0000
expresar;,0000
elegidos;,0000
rotunda;1,0000
combatimos;1,0000
erroneas;-1,0000
azoto;1,0000
comportamiento;,0000
idonea;1,0000
familiarizando;1,0000
creiste;1,0000
utilizado;,0000
viboras;1,0000
convencido;1,0000
pararan;1,0000
irreprochable;1,0000
positiva;1,0000
lloraba;-1,0000
declarar;,0000
volado;,0000
veda;,0000
ausenta;,0000
asaltan;,0000
plaza;,0000
demolidos;1,0000
arreglar;1,0000
noticioso;1,0000
terrazas;,0000
empuje;1,0000
prolongando;1,0000
ser;,0000
turc;1,0000
excepcionalidad;1,0000
saberlo;,0000
tropicales;1,0000
implicitamente;1,0000
llamandola;1,0000
dejaban;1,0000
conquistados;,0000
apoyen;1,0000
cansados;,0000
demandada;1,0000
evaluando;1,0000
tosco;1,0000
reduciendo;,0000
suenos;1,0000
construido;1,0000
microondas;1,0000
educar;1,0000
blanda;1,0000
patron;,0000
maritimo;,0000
gamberra;,0000
estudios;,0000
metidos;1,0000
tragica;1,0000
hipocritas;1,0000
imputada;-1,0000
fronteras;,0000
eliminan;,0000
competimos;1,0000
escuchandola;1,0000
empobrecido;1,0000
protegiendo;1,0000
pediatra;1,0000
descentralizada;1,0000
inestable;1,0000
rescindir;1,0000
masacradas;1,0000
contraidas;,0000
adquiridos;,0000
emprenderlas;1,0000
nino;,0000
perseverancia;1,0000
modernizo;1,0000
consolidan;,0000
pita;1,0000
calculo;,0000
quintara;1,0000
subsidios;1,0000
pegan;-1,0000
maldad;,0000
sonara;1,0000
tropezo;1,0000
uniremos;1,0000
mineros;-1,0000
pel;1,0000
ayuntamiento;,0000
hernandez;,0000
aplaudimos;1,0000
marean;1,0000
prometedor;1,0000
investigaba;,0000
ambito;,0000
naciones;,0000
santo;,0000
buscando;,0000
clima;,0000
comprobada;1,0000
retrasar;-1,0000
violentos;-1,0000
disponible;1,0000
top;,0000
autenticamente;,0000
crueldad;1,0000
reiterar;1,0000
llevan;,0000
cene;,0000
venceremos;1,0000
atentado;,0000
delgada;1,0000
sequito;1,0000
metiste;1,0000
deseches;1,0000
angustiada;1,0000
correccion;,0000
regulada;1,0000
leches;,0000
denostan;1,0000
empiezan;,0000
mandan;,0000
derechista;1,0000
delante;,0000
consolidar;,0000
recomiendo;1,0000
fomentar;1,0000
montarse;1,0000
rumor;,0000
indignada;-1,0000
construirse;1,0000
visito;,0000
harian;,0000
patrocinadores;1,0000
superara;,0000
viaja;,0000
murio;,0000
negociaran;1,0000
decentemente;1,0000
financio;,0000
malvender;1,0000
reforzada;1,0000
peligra;-1,0000
abajo;,0000
escribimos;,0000
hac;1,0000
preciar;1,0000
mundoes;-1,0000
quimica;,0000
llegue;,0000
desalojo;,0000
amenazas;-1,0000
combate;,0000
insuperable;,0000
escasean;1,0000
percance;1,0000
codiciado;1,0000
cocino;1,0000
privados;,0000
fugaz;1,0000
desbordarse;1,0000
unanimamente;1,0000
fertil;1,0000
monarquica;1,0000
guiarla;1,0000
equivale;-1,0000
negociar;,0000
pitan;,0000
interesa;,0000
pretendas;1,0000
valenciano;,0000
insidias;-1,0000
lincha;1,0000
avisaron;1,0000
transparentes;,0000
chocolates;1,0000
impugnar;1,0000
ligar;,0000
jurara;,0000
faciles;,0000
topico;1,0000
edulcorante;1,0000
agudo;,0000
trick;,0000
esquivando;,0000
malevola;1,0000
pendejos;1,0000
adormecer;1,0000
sobres;-1,0000
moderna;1,0000
humos;1,0000
demostraron;,0000
contratistas;1,0000
notables;1,0000
revisaran;1,0000
iniciar;,0000
despeinan;1,0000
sagrado;1,0000
contradictorias;-1,0000
sec;,0000
lidia;,0000
rodearan;1,0000
salieran;1,0000
churros;,0000
multan;,0000
insular;,0000
linea;,0000
intentemos;1,0000
cansinos;1,0000
retencion;,0000
fabricante;1,0000
preocupamos;1,0000
bienvenido;1,0000
aliada;1,0000
hombr;1,0000
juntas;1,0000
mando;,0000
importemos;,0000
aficionados;1,0000
incompetencia;-1,0000
variada;1,0000
ruedan;1,0000
tecnologicas;,0000
ayudando;1,0000
atacada;1,0000
ii;,0000
pintadas;-1,0000
golpeandonos;1,0000
compartiendo;1,0000
pilladas;1,0000
pesar;,0000
chanca;1,0000
abiertos;1,0000
contraproducente;-1,0000
legislador;,0000
cerebrales;1,0000
neutral;,0000
aplicara;,0000
adicional;-1,0000
prevalece;,0000
periodos;,0000
acompanaban;1,0000
clasificada;,0000
explotar;,0000
sosegados;1,0000
multiplicar;1,0000
oros;1,0000
paternal;1,0000
entendimos;,0000
digo;,0000
pasaron;,0000
afronta;,0000
museo;,0000
magnetismo;1,0000
tal;,0000
aniquilar;1,0000
inocentadas;,0000
subita;,0000
parodia;1,0000
padres;,0000
deshumanizacion;1,0000
quitar;-1,0000
impulsada;,0000
leona;1,0000
soberbia;,0000
digan;,0000
competitivas;1,0000
inadecuada;1,0000
imaginad;1,0000
eur;-1,0000
conocen;,0000
huella;,0000
vienes;,0000
resistencia;,0000
ganarlo;1,0000
liquida;1,0000
traer;,0000
volo;1,0000
consciencias;1,0000
discursos;,0000
repunte;,0000
hipoglucemia;1,0000
refresca;1,0000
dinamica;1,0000
razonamiento;1,0000
naturaleza;,0000
llevaba;,0000
independencia;,0000
anuncian;-1,0000
peliculas;,0000
ilegalizar;-1,0000
