"","corrupto"
"pagos",0
"palabra",0
"palacios",0
"panorama",0
"papel",0
"paraguay",0
"parejas",0
"parody",0
"parque",0
"participó",0
"partidos",0
"paso",0
"pasos",0
"pasto",0
"patria",0
"patrimonio",0
"pedir",0
"peligro",0
"peligroso",0
"peñalosa",0
"pensar",0
"perder",0
"perdido",0
"pérez",0
"perfil",0
"período",0
"permanente",0
"permite",0
"permitido",0
"permitieron",0
"permitió",0
"perpetua",0
"perú",0
"petro",0
"photos",0
"pic",0
"picota",0
"piden",0
"pidió",0
"pierda",0
"pinilla",0
"piso",0
"plenaria",0
"pobreza",0
"podamos",0
"polémica",0
"polígrafo",0
"popular",0
"posconflicto",0
"posibilidad",0
"posición",0
"post",0
"posteriormente",0
"precisa",0
"precisamente",0
"pregunta",0
"preocupaciones",0
"preocupante",0
"presentar",0
"presentes",0
"presidencia",0
"presidencial",0
"presos",0
"presuntamente",0
"preventiva",0
"prieto",0
"privada",0
"problema",0
"problemática",0
"procurador",0
"productores",0
"progreso",0
"promesas",0
"prometió",0
"pronunciamientos",0
"pronunció",0
"propiedad",0
"propuesta",0
"proteger",0
"protesta",0
"publicado",0
"publicó",0
"públicos",0
"puedan",0
"puertas",0
"punto",0
"puntos",0
"puntualizó",0
"quieren",0
"quiero",0
"quintero",0
"radical",0
"rama",0
"ramiro",0
"rápido",0
"rcn",0
"rcnradio",0
"reales",0
"realidad",0
"realizadas",0
"realizando",0
"realizará",0
"recién",0
"reciente",0
"reclutados",0
"recomienda",0
"reconoce",0
"reconocer",0
"récord",0
"recurso",0
"reducir",0
"referendo",0
"refiere",0
"región",0
"regiones",0
"registra",0
"registraduría",0
"reglas",0
"renunció",0
"reportó",0
"representa",0
"requiere",0
"reseña",0
"resolver",0
"respaldo",0
"responde",0
"respondió",0
"responsable",0
"responsables",0
"resto",0
"resulta",0
"reunió",0
"reuniones",0
"revisar",0
"revolución",0
"ricardo",0
"ricaurte",0
"rico",0
"rincón",0
"riohacha",0
"robadas",0
"robados",0
"roberto",0
"rol",0
"roy",0
"rutas",0
"salario",0
"salarios",0
"salió",0
"saludcoop",0
"seguimos",0
"segura",0
"semana",0
"senadores",0
"señala",0
"señalamientos",0
"señor",0
"sentencia",0
"sentencias",0
"servidores",0
"sicarios",0
"sigan",0
"siguen",0
"sistemas",0
"sobornar",0
"sociales",0
"sociedades",0
"solicita",0
"solicitado",0
"solicitó",0
"solicitud",0
"solidaridad",0
"solucionar",0
"someter",0
"sospechoso",0
"sostenible",0
"sostuvo",0
"suaves",0
"subió",0
"subraya",0
"subsidios",0
"suman",0
"supuesta",0
"suscrito",0
"televisión",0
"temor",0
"tercer",0
"tercero",0
"terminado",0
"término",0
"testimonio",0
"testimonios",0
"texto",0
"timeline",0
"títulos",0
"toca",0
"tomado",0
"totalidad",0
"totalmente",0
"trabaja",0
"trabajadores",0
"tráfico",0
"transicional",0
"tratados",0
"tuvieron",0
"twitter",0
"unicef",0
"unidad",0
"urnas",0
"usando",0
"utilizados",0
"vecino",0
"velásquez",0
"verdadera",0
"verdadero",0
"versión",0
"viajes",0
"vicepresidente",0
"víctor",0
"viene",0
"vigente",0
"vigentes",0
"vigilancia",0
"vínculos",0
"violaciones",0
"virtud",0
"víspera",0
"viven",0
"vivo",0
"votos",0
"voz",0
"vuelo",0
"washington",0
"william",0
"zuluaga",0
